,Zipcodes,2017 Population
0,77002,12370.0
1,77003,9646.0
2,77004,37642.0
3,77005,28233.0
4,77006,21945.0
5,77007,35822.0
6,77008,34491.0
7,77009,37751.0
8,77010,915.0
9,77011,18598.0
10,77012,20085.0
11,77013,20790.0
12,77014,35729.0
13,77015,57258.0
14,77016,29597.0
15,77017,32556.0
16,77018,28073.0
17,77019,21572.0
18,77020,25898.0
19,77021,26654.0
20,77022,27364.0
21,77023,28528.0
22,77024,38110.0
23,77025,28922.0
24,77026,22799.0
25,77027,16012.0
26,77028,15725.0
27,77029,17894.0
28,77030,10813.0
29,77031,18052.0
30,77032,14443.0
31,77033,29692.0
32,77034,40183.0
33,77035,38324.0
34,77036,76605.0
35,77037,20038.0
36,77038,30653.0
37,77039,27972.0
38,77040,48273.0
39,77041,35372.0
40,77042,42098.0
41,77043,25838.0
42,77044,42665.0
43,77045,36270.0
44,77046,1029.0
45,77047,29410.0
46,77048,17143.0
47,77049,33749.0
48,77050,5031.0
49,77051,16661.0
50,77054,22517.0
51,77055,45003.0
52,77056,21732.0
53,77057,40130.0
54,77058,16669.0
55,77059,17374.0
56,77060,44549.0
57,77061,26276.0
58,77062,26583.0
59,77063,38931.0
60,77064,49578.0
61,77065,38820.0
62,77066,33796.0
63,77067,33489.0
64,77068,10897.0
65,77069,18238.0
66,77070,51080.0
67,77071,27981.0
68,77072,62162.0
69,77073,42780.0
70,77074,39915.0
71,77075,43586.0
72,77076,35144.0
73,77077,57757.0
74,77078,15820.0
75,77079,33577.0
76,77080,45665.0
77,77081,49059.0
78,77082,56641.0
79,77083,79408.0
80,77084,104582.0
81,77085,17981.0
82,77086,29506.0
83,77087,37200.0
84,77088,56716.0
85,77089,52699.0
86,77090,38361.0
87,77091,25277.0
88,77092,38476.0
89,77093,44428.0
90,77094,9439.0
91,77095,72081.0
92,77096,35465.0
93,77098,13444.0
94,77099,51905.0
95,77201,0.0
96,77336,12397.0
97,77338,40335.0
98,77339,41403.0
99,77345,29090.0
100,77346,63233.0
101,77373,58255.0
102,77375,50525.0
103,77377,36758.0
104,77379,78226.0
105,77388,45841.0
106,77389,31883.0
107,77396,54352.0
108,77401,19062.0
109,77429,86399.0
110,77433,75008.0
111,77447,15246.0
112,77449,119204.0
113,77450,74631.0
114,77484,10710.0
115,77493,29984.0
116,77502,39040.0
117,77503,26171.0
118,77504,23327.0
119,77505,24230.0
120,77506,37736.0
121,77507,0.0
122,77520,36694.0
123,77521,57125.0
124,77530,31119.0
125,77532,28320.0
126,77536,32392.0
127,77547,10077.0
128,77562,10665.0
129,77571,37374.0
130,77586,22182.0
131,77587,16901.0
132,77598,24689.0
