OBJECTID_12,OBJECTID_1,OBJECTID,DISTRICT,DISTNAME,CAMPUS,CAMPNAME,STREET_MAI,CITY_MAIL,ZIP_MAIL,CITY,ZIP,CNTYNAME,REGION,GRADERANGE,GRADEGRP,VERIFY,INSTR_TYPE,STREET_M_1,ADJUST,Shape
1,1,1,20908,PEARLAND ISD,20908008,SHERYL SEARCY NINTH GRADE CENTER,P O BOX 7,PEARLAND,77588,PEARLAND,77581,BRAZORIA COUNTY,4,HIGH SCHOOL,4,0,REGULAR INSTRUCTIONAL,P O BOX 7,Y,1
2,2,20,101813,KIPP INC CHARTER,101813044,KIPP INTREPID PREPARATORY SCHOOL,10711 KIPP WAY,HOUSTON,77099,HOUSTON,77023,HARRIS COUNTY,4,MIDDLE SCHOOL,2,0,REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,2
3,3,21,101813,KIPP INC CHARTER,101813110,KIPP NORTH FOREST LOWER GIRLS SCHOOL,10711 KIPP WAY,HOUSTON,77099,HOUSTON,77078,HARRIS COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,10711 KIPP WAY,Y,3
4,4,22,101858,HARMONY SCHOOL OF EXCELLENCE,101858002,HARMONY SCHOOL OF EXCELLENCE - ENDEAVOR,5668 W LITTLE YORK RD,HOUSTON,77091,HOUSTON,77091,HARRIS COUNTY,4,ELEMENTARY/SECONDARY,5,0,REGULAR INSTRUCTIONAL,5668 W LITTLE YORK RD,Y,4
5,5,26,101913,HUMBLE ISD,101913014,SUMMER CREEK H S,14000 WECKFORD BLVD,HOUSTON,77044,HOUSTON,77304,HARRIS COUNTY,4,HIGH SCHOOL,4,0,REGULAR INSTRUCTIONAL,14000 WECKFORD BLVD,Y,5
6,6,27,101913,HUMBLE ISD,101913125,LAKESHORE EL,13333 BREAKWATER PATH LN,HOUSTON,77044,HOUSTON,77044,HARRIS COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,13333 BREAKWATER PATH LN,Y,6
7,7,28,101914,KATY ISD,101914132,STAN C STANLEY EL,P O BOX 159,KATY,77492,KATY,77494,HARRIS COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,P O BOX 159,Y,7
8,8,29,101924,SHELDON ISD,101924043,MICHAEL R NULL MIDDLE,12117 GARRETT RD,HOUSTON,77044,HOUSTON,77044,HARRIS COUNTY,4,MIDDLE SCHOOL,2,0,REGULAR INSTRUCTIONAL,12117 GARRETT RD,Y,8
9,9,42,21805,ARROW ACADEMY,21805101,ARROW ACADEMY - LIBERATION ACADEMY,401 PRESENT ST,MISSOURI CITY,77489,MISSOURI CITY,77489,BRAZOS COUNTY,6,KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,401 PRESENT ST,Y,9
10,10,48,21805,ARROW ACADEMY,21805102,ARROW ACADEMY - HARVEST PREPARATORY ACADEM,17770 IMPERIAL VALLEY DR,HOUSTON,77060,HOUSTON,77060,BRAZOS COUNTY,6,KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,17770 IMPERIAL VALLEY DR,Y,10
11,11,49,21805,ARROW ACADEMY,21805103,BETHEL'S LEARNING CENTER,14442 FONMEADOW,HOUSTON,77035,HOUSTON,77035,BRAZOS COUNTY,6,KG 01 02 03 04 05,1,0,REGULAR INSTRUCTIONAL,14442 FONMEADOW,Y,11
12,12,56,101919,SPRING ISD,101919122,NORTHGATE ELEMENTARY,23437 NORTHGATE CROSSING BLVD,HOUSTON,77373,HOUSTON,77373,HARRIS COUNTY,4,EE - 05,1,0,REGULAR INSTRUCTIONAL,23437 NORTHGATE CROSSING BLVD,Y,12
13,13,57,101919,SPRING ISD,101919124,CAROLEE BOOKER ELEMENTARY,22352 IMPERIAL VLY DR,HOUSTON,77073,HOUSTON,77373,HARRIS COUNTY,4,EE - 05,1,0,REGULAR INSTRUCTIONAL,22352 IMPERIAL VLY DR,Y,13
14,14,60,101911,GOOSE CREEK CISD,101911015,GOOSE CREEK MEMORIAL,P O BOX 30,BAYTOWN,77522,BAYTOWN,77521,HARRIS COUNTY,4,11-Sep,4,0,REGULAR INSTRUCTIONAL,P O BOX 30,Y,14
15,15,74,101915,KLEIN ISD,101915035,THERAPEUTIC EDUCATION PROGRAM,16503 STUEBNER-AIRLINE,KLEIN,77379,KLEIN,77379,HARRIS COUNTY,4,EE - 12,5,0,ALTERNATIVE INSTRUCTIONAL,16503 STUEBNER-AIRLINE,Y,15
16,16,94,79907,FORT BEND ISD,79907149,JUAN SEGUIN EL,16431 LEXINGTON BLVD,SUGAR LAND,77479,RICHMOND,77407,FORT BEND COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,16431 LEXINGTON BLVD,Y,16
17,17,95,79907,FORT BEND ISD,79907150,HERITAGE ROSE,16431 LEXINGTON BLVD,SUGAR LAND,77479,ROSHARON,77583,FORT BEND COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,16431 LEXINGTON BLVD,Y,17
18,18,96,79907,FORT BEND ISD,79907016,RIDGE POINT,16431 LEXINGTON BLVD,SUGAR LAND,77479,MISSOURI CITY,77459,FORT BEND COUNTY,4,HIGH SCHOOL,4,0,REGULAR INSTRUCTIONAL,16431 LEXINGTON BLVD,Y,18
19,19,99,170902,CONROE ISD,170902129,BIRNHAM WOODS EL,3205 W DAVIS ST,CONROE,77302,SPRING,77386,MONTGOMERY COUNTY,6,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,3205 W DAVIS ST,Y,19
20,20,102,170902,CONROE ISD,170902077,COX INTERMEDIATE,3333 WATERBEND COVE,SPRING,77386,SPRING,77386,MONTGOMERY COUNTY,6,6-May,2,0,REGULAR INSTRUCTIONAL,3333 WATERBEND COVE,Y,20
21,21,109,79901,LAMAR CISD,79901126,JOE HUBENAK EL,11344 RANCHO BELLA PKWY,RICHMOND,77406,RICHMOND,77406,FORT BEND COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,11344 RANCHO BELLA PKWY,Y,21
22,22,124,170906,MAGNOLIA ISD,170906109,MAGNOLIA PARKWAY EL,PO BOX 460,MAGNOLIA,77353,MAGNOLIA,77354,MONTGOMERY COUNTY,6,PK - 05,1,0,REGULAR INSTRUCTIONAL,PO BOX 460,Y,22
23,23,128,101902,ALDINE ISD,101902164,KUJAWA EC/PRE-K CENTER,7111 FALLBROOK DR,HOUSTON,77086,HOUSTON,77086,HARRIS COUNTY,4,EE - PK,1,0,REGULAR INSTRUCTIONAL,7111 FALLBROOK DR,Y,23
24,24,129,101902,ALDINE ISD,101902165,JONES EC/PRE-K CENTER,8003 FOREST POINT DR,HUMBLE,77338,HUMBLE,77338,HARRIS COUNTY,4,EE - KG,1,0,REGULAR INSTRUCTIONAL,8003 FOREST POINT DR,Y,24
25,25,155,101903,ALIEF ISD,101903012,ALIEF EARLY COLLEGE H S,4250 COOK RD,HOUSTON,77072,HOUSTON,77072,HARRIS COUNTY,4,HIGH SCHOOL,4,0,REGULAR INSTRUCTIONAL,4250 COOK RD,Y,25
26,26,164,101919,SPRING ISD,101919128,GLORIA MARSHALL EL,24505 BIRNAMWOOD DR,SPRING,77373,SPRING,77373,HARRIS COUNTY,4,ELEMENTARY,1,0,REGULAR INSTRUCTIONAL,24505 BIRNAMWOOD DR,Y,26
27,27,169,101845,YES PREPARATORY PUBLIC SCHOOLS,101845005,YES PREP - SOUTH,6201 BONHOMME RD STE 168 N,HOUSTON,77036,HOUSTON,77074,HARRIS COUNTY,4,MIDDLE SCHOOL,2,0,REGULAR INSTRUCTIONAL,6201 BONHOMME RD STE 168 N,Y,27
28,28,170,101845,YES PREPARATORY PUBLIC SCHOOLS,101845006,YES PREP - WEST,6201 BONHOMME RD STE 168 N,HOUSTON,77036,HOUSTON,77074,HARRIS COUNTY,4,MIDDLE SCHOOL,2,0,REGULAR INSTRUCTIONAL,6201 BONHOMME RD STE 168 N,Y,28
29,29,173,101828,HOUSTON GATEWAY ACADEMY INC,101828001,HOUSTON GATEWAY ACADEMY - CORAL CAMPUS,1020 CORAL,HOUSTON,77012,HOUSTON,77012,HARRIS COUNTY,4,ELEMENTARY/SECONDARY,5,0,REGULAR INSTRUCTIONAL,1020 CORAL,Y,29
30,30,193,57811,CHILDREN FIRST ACADEMY OF DALLAS,57811102,THE CHILDREN FIRST ACADEMY - HOUSTON,7803 E LITTLE YORK,HOUSTON,77016,HOUSTON,77016,DALLAS COUNTY,10,PK KG 01 02 03 04 05 06 07,1,0,REGULAR INSTRUCTIONAL,7803 E LITTLE YORK,Y,30
31,31,202,101921,TOMBALL ISD,101921002,TOMBALL MEMORIAL H S,221 W  MAIN ST,TOMBALL,77375,TOMBALL,77377,HARRIS COUNTY,4,HIGH SCHOOL,4,0,REGULAR INSTRUCTIONAL,221 W  MAIN ST,Y,31
32,32,218,79907,FORT BEND ISD,79907012,THURGOOD MARSHALL HIGH SCHOOL,16431 LEXINGTON BLVD,SUGARLAND,77479,MISSOURI CITY,77489,FORT BEND COUNTY,4,12-Sep,4,0,REGULAR,16431 LEXINGTON BLVD,Y,32
33,33,235,101902,ALDINE ISD,101902134,JONES ELEM,7903 FOREST POINT DR,HUMBLE,77338,HUMBLE,77338,HARRIS COUNTY,4,EE - 04,1,0,REGULAR INSTRUCTIONAL,7903 FOREST POINT DR,Y,33
34,34,237,20908,PEARLAND ISD,20908044,BERRY MILLER J H,P O BOX 7,PEARLAND,77581,PEARLAND,77584,BRAZORIA COUNTY,4,8-Jul,3,0,REGULAR INSTRUCTIONAL,P O BOX 7,Y,34
35,35,245,101862,HARMONY SCHOOL OF SCIENCE - HOUSTON,101862001,HARMONY SCHOOL OF SCIENCE - HOUSTON,9431 W SAM HOUSTON PKWY S STE 202,HOUSTON,77099,SUGARLAND,77478,HARRIS COUNTY,4,PK - 08,5,0,REGULAR INSTRUCTIONAL,9431 W SAM HOUSTON PKWY S STE 202,Y,35
36,36,267,101911,GOOSE CREEK CISD,101911043,CEDAR BAYOU J H,P O BOX 30,BAYTOWN,77522,BAYTOWN,77520,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,P O BOX 30,Y,36
37,37,268,101911,GOOSE CREEK CISD,101911102,STEPHEN F AUSTIN EL,P O BOX 30,BAYTOWN,77522,BAYTOWN,77521,HARRIS COUNTY,4,KG-5,1,0,REGULAR,P O BOX 30,Y,37
38,38,269,101911,GOOSE CREEK CISD,101911120,LORENZO DE ZAVALA EL,P O BOX 30,BAYTOWN,77520,BAYTOWN,77520,HARRIS COUNTY,4,PK-5,1,0,REGULAR,P O BOX 30,Y,38
39,39,270,101912,HOUSTON ISD,101912068,GRADY MIDDLE,5215 SAN FELIPE,HOUSTON,77056,HOUSTON,77056,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,5215 SAN FELIPE,Y,39
40,40,271,101912,HOUSTON ISD,101912158,GARDEN VILLAS EL,7185 SANTA FE,HOUSTON,77061,HOUSTON,77061,HARRIS COUNTY,4,EE-5,1,0,REGULAR,7185 SANTA FE,Y,40
41,41,272,101912,HOUSTON ISD,101912332,PRO-VISION SCHOOL,6424 CULLEN,HOUSTON,77021,HOUSTON,77021,HARRIS COUNTY,4,8-May,2,0,ALTERNATIVE,6424 CULLEN,Y,41
42,42,273,101919,SPRING ISD,101919043,EDWIN M WELLS MIDDLE,4033 GLADERIDGE DR,HOUSTON,77068,HOUSTON,77068,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,4033 GLADERIDGE DR,Y,42
43,43,274,101919,SPRING ISD,101919045,TWIN CREEKS MIDDLE,27100 CYPRESSWOOD DR,SPRING,77373,SPRING,77373,HARRIS COUNTY,4,8-Jun,2,0,REGULAR,27100 CYPRESSWOOD DR,Y,43
44,44,275,101919,SPRING ISD,101919102,BAMMEL EL,17309 RED OAK DR,HOUSTON,77090,HOUSTON,77090,HARRIS COUNTY,4,EE-5,1,0,REGULAR,17309 RED OAK DR,Y,44
